kernel,params,rank_test_score,mean_test_score,std_test_score
100_0.1_rbf,"{'C': 100, 'gamma': 0.1, 'kernel': 'rbf'}",1,0.7048650604159673,0.047463883452371444
10_0.1_rbf,"{'C': 10, 'gamma': 0.1, 'kernel': 'rbf'}",1,0.7048650604159673,0.047463883452371444
1000_0.1_rbf,"{'C': 1000, 'gamma': 0.1, 'kernel': 'rbf'}",1,0.7048650604159673,0.047463883452371444
100_4_0.01_poly,"{'C': 100, 'degree': 4, 'gamma': 0.01, 'kernel': 'poly'}",4,0.7043822129995122,0.044631988198329704
0.1_4_scale_poly,"{'C': 0.1, 'degree': 4, 'gamma': 'scale', 'kernel': 'poly'}",5,0.7000001747565936,0.047220411651877264
1_2_scale_poly,"{'C': 1, 'degree': 2, 'gamma': 'scale', 'kernel': 'poly'}",6,0.6996418612854244,0.04706429145839674
1_0.1_rbf,"{'C': 1, 'gamma': 0.1, 'kernel': 'rbf'}",7,0.6945809214390382,0.048444235915717344
1000_3_auto_poly,"{'C': 1000, 'degree': 3, 'gamma': 'auto', 'kernel': 'poly'}",8,0.6936498691096817,0.048203928496714725
10_0.01_rbf,"{'C': 10, 'gamma': 0.01, 'kernel': 'rbf'}",9,0.6918584249718975,0.046586838298333814
10_2_0.01_poly,"{'C': 10, 'degree': 2, 'gamma': 0.01, 'kernel': 'poly'}",10,0.6916393608243837,0.047529887286913985
0.1_2_0.1_poly,"{'C': 0.1, 'degree': 2, 'gamma': 0.1, 'kernel': 'poly'}",10,0.6916393608243837,0.047529887286913985
1000_2_0.001_poly,"{'C': 1000, 'degree': 2, 'gamma': 0.001, 'kernel': 'poly'}",10,0.6916393608243837,0.047529887286913985
1_scale_rbf,"{'C': 1, 'gamma': 'scale', 'kernel': 'rbf'}",13,0.6899839896783594,0.04761456216317883
0.1_3_0.1_poly,"{'C': 0.1, 'degree': 3, 'gamma': 0.1, 'kernel': 'poly'}",14,0.6894003523337383,0.04822331170342728
100_3_0.01_poly,"{'C': 100, 'degree': 3, 'gamma': 0.01, 'kernel': 'poly'}",14,0.6894003523337383,0.04822331170342728
10_scale_rbf,"{'C': 10, 'gamma': 'scale', 'kernel': 'rbf'}",16,0.688953801434534,0.051806673036943404
100_scale_rbf,"{'C': 100, 'gamma': 'scale', 'kernel': 'rbf'}",17,0.68890191282714,0.05132466023734647
1000_scale_rbf,"{'C': 1000, 'gamma': 'scale', 'kernel': 'rbf'}",17,0.68890191282714,0.05132466023734647
1_3_scale_poly,"{'C': 1, 'degree': 3, 'gamma': 'scale', 'kernel': 'poly'}",19,0.6881788288043547,0.04991305426097166
100_2_auto_poly,"{'C': 100, 'degree': 2, 'gamma': 'auto', 'kernel': 'poly'}",20,0.6867520459808207,0.04889464677392093
0.1_3_scale_poly,"{'C': 0.1, 'degree': 3, 'gamma': 'scale', 'kernel': 'poly'}",21,0.685891225828812,0.05029483943189796
