feature,index,weight
lowlevel.barkbands_crest.min.accompaniment,0,0.049958542703989924
lowlevel.barkbands_flatness_db.kurt.accompaniment,1,0.025231649091632766
lowlevel.barkbands_flatness_db.min.accompaniment,2,0.025231649091632766
lowlevel.barkbands_flatness_db.skew.accompaniment,3,0.04940181288493925
lowlevel.barkbands_kurtosis.min.accompaniment,4,0.026251862458751496
lowlevel.barkbands_kurtosis.skew.accompaniment,5,0.025231649091632766
lowlevel.barkbands_kurtosis.var.accompaniment,6,0.025231649091632766
lowlevel.barkbands_spread.kurt.accompaniment,7,0.026251862458751496
lowlevel.dissonance.kurt.accompaniment,8,0.025231649091632766
lowlevel.dissonance.var.accompaniment,9,0.1179810617997199
lowlevel.erbbands_crest.kurt.accompaniment,10,0.04982752497507032
lowlevel.erbbands_crest.min.accompaniment,11,0.03658700880323825
lowlevel.erbbands_flatness_db.kurt.accompaniment,12,0.025231649091632766
lowlevel.erbbands_flatness_db.min.accompaniment,13,0.025231649091632766
lowlevel.erbbands_flatness_db.skew.accompaniment,14,0.027968601148337886
lowlevel.erbbands_kurtosis.median.accompaniment,15,0.03649538919483749
lowlevel.erbbands_kurtosis.skew.accompaniment,16,0.031006663491686407
lowlevel.erbbands_skewness.kurt.accompaniment,17,0.025231649091632766
lowlevel.erbbands_skewness.skew.accompaniment,18,0.025231649091632766
lowlevel.hfc.skew.accompaniment,19,0.06565653498424345
lowlevel.loudness_ebu128.short_term.dvar2.accompaniment,20,0.025231649091632766
lowlevel.loudness_ebu128.short_term.kurt.accompaniment,21,0.026251862458751496
lowlevel.loudness_ebu128.short_term.var.accompaniment,22,0.025231649091632766
lowlevel.melbands_flatness_db.min.accompaniment,23,0.025231649091632766
lowlevel.melbands_kurtosis.min.accompaniment,24,0.025231649091632766
lowlevel.melbands_skewness.min.accompaniment,25,0.025231649091632766
lowlevel.pitch_salience.kurt.accompaniment,26,0.026251862458751496
lowlevel.pitch_salience.max.accompaniment,27,0.025231649091632766
