Features,Scores
rhythm.beats_loudness_band_ratio.var[1].vocal,31.4042930167388
rhythm.beats_loudness_band_ratio.kurt[1].vocal,30.917294698813592
lowlevel.melbands128.kurt[10].vocal,28.576903998419283
rhythm.beats_loudness_band_ratio.kurt[2].vocal,24.701935733412586
rhythm.beats_loudness_band_ratio.median[2].vocal,23.274459525731853
lowlevel.gfcc.dvar[8].vocal,21.243610279225727
rhythm.beats_loudness_band_ratio.median[6].vocal,19.55629216365041
lowlevel.silence_rate_30dB.min.vocal,19.285714285714285
lowlevel.spectral_contrast_coeffs.dvar2[1].vocal,17.7620360621276
rhythm.beats_loudness_band_ratio.dmean[5].vocal,17.009556163179145
tonal.thpcp[4].vocal,16.85799527128979
tonal.thpcp[34].vocal,16.616318606956945
tonal.hpcp.median[21].vocal,15.377596775934652
tonal.hpcp.dmean[23].vocal,15.224428370130514
lowlevel.loudness_ebu128.momentary.min.vocal,15.18280428257061
tonal.hpcp.dmean[27].vocal,14.605384673469707
lowlevel.barkbands.mean[5].vocal,13.99831396020403
tonal.key_edma.scale.vocal,13.670103092783506
lowlevel.spectral_contrast_coeffs.min[3].vocal,13.609633296790452
lowlevel.gfcc.max[9].vocal,13.486799661178237
rhythm.beats_loudness_band_ratio.dvar2[4].vocal,13.41743445071621
lowlevel.spectral_complexity.dvar.vocal,12.769759273631536
lowlevel.erbbands.dmean[19].vocal,11.616094261264049
lowlevel.spectral_contrast_coeffs.var[1].vocal,11.579033940992863
lowlevel.mfcc.var[4].vocal,11.354747594153206
lowlevel.spectral_energyband_middle_high.dmean2.vocal,11.30114904692509
lowlevel.zerocrossingrate.min.vocal,11.06845535378854
lowlevel.mfcc.max[12].vocal,10.732722447294591
lowlevel.gfcc.var[7].vocal,10.64510877270501
lowlevel.spectral_contrast_valleys.var[1].vocal,10.468566561998212
lowlevel.dissonance.min.vocal,10.318071385358746
lowlevel.melbands.kurt[27].vocal,10.298670363799271
lowlevel.mfcc.var[8].vocal,9.968099744675037
lowlevel.erbbands.dmean2[5].vocal,9.94894430109411
lowlevel.erbbands.median[20].vocal,9.569658990787604
tonal.thpcp[19].vocal,9.3285808618135
rhythm.beats_loudness_band_ratio.var[6].vocal,9.326565750719915
lowlevel.erbbands_flatness_db.mean.vocal,9.305674624184892
lowlevel.melbands128.kurt[63].vocal,9.229070113074394
lowlevel.spectral_contrast_coeffs.median[6].vocal,9.0192125973254
lowlevel.mfcc.min[4].vocal,8.954626626690505
lowlevel.erbbands.dmean2[16].vocal,8.951459174298524
lowlevel.barkbands_crest.min.vocal,8.799919632218954
rhythm.beats_loudness_band_ratio.median[4].vocal,8.79038733309527
tonal.hpcp.dmean[5].vocal,8.550100687735808
lowlevel.mfcc.var[1].vocal,8.37202120787498
lowlevel.melbands128.skew[19].vocal,8.087740413497432
lowlevel.melbands.kurt[29].vocal,8.065245345040816
lowlevel.barkbands_skewness.dmean.vocal,7.962547791245763
tonal.chords_changes_rate.vocal,7.759342492691311
lowlevel.mfcc.var[3].vocal,7.714284078295072
lowlevel.spectral_entropy.min.vocal,7.703799614330119
lowlevel.gfcc.var[9].vocal,7.575417081636855
lowlevel.mfcc.max[10].vocal,7.55593903145495
tonal.thpcp[26].vocal,7.486390904929001
lowlevel.mfcc.var[7].vocal,7.351886219138172
tonal.thpcp[29].vocal,7.3046772708177965
lowlevel.spectral_strongpeak.dmean2.vocal,7.161006184142645
lowlevel.erbbands.mean[4].vocal,7.121660818998777
lowlevel.mfcc.max[11].vocal,7.041423543392616
lowlevel.erbbands.dmean2[13].vocal,7.0190300224579465
lowlevel.mfcc.max[9].vocal,6.999045912534966
lowlevel.melbands_spread.dmean.vocal,6.994382837349011
tonal.thpcp[12].vocal,6.945238385000168
lowlevel.melbands128.skew[18].vocal,6.897858266521489
lowlevel.barkbands.dmean2[9].vocal,6.884713711747346
tonal.tuning_equal_tempered_deviation.vocal,6.792127917369932
lowlevel.erbbands.dvar[19].vocal,6.757157939354621
lowlevel.mfcc.max[8].vocal,6.712333682547885
lowlevel.gfcc.min[3].vocal,6.711910601429825
lowlevel.dissonance.mean.vocal,6.699685679779996
lowlevel.gfcc.median[6].vocal,6.582880664973101
lowlevel.gfcc.min[2].vocal,6.514430306135157
lowlevel.gfcc.kurt[1].vocal,6.47036281734639
lowlevel.gfcc.max[12].vocal,6.46543911312283
lowlevel.erbbands.median[5].vocal,6.329722013631589
lowlevel.silence_rate_30dB.kurt.vocal,6.271850571256292
lowlevel.silence_rate_60dB.median.vocal,6.176220806794055
lowlevel.spectral_contrast_coeffs.dvar2[6].vocal,6.10907948669673
lowlevel.spectral_energyband_middle_low.median.vocal,6.0390588382335615
lowlevel.erbbands.dmean2[20].vocal,5.933179107140608
lowlevel.erbbands.median[26].vocal,5.911716500083448
lowlevel.erbbands.median[7].vocal,5.705114551432399
lowlevel.melbands128.kurt[75].vocal,5.668331868693068
lowlevel.gfcc.max[7].vocal,5.65647511495134
lowlevel.melbands128.skew[20].vocal,5.599057163793261
lowlevel.gfcc.max[8].vocal,5.55717263966617
lowlevel.spectral_contrast_valleys.max[6].vocal,5.4870337393237305
lowlevel.spectral_kurtosis.min.vocal,5.471256500117005
lowlevel.mfcc.var[9].vocal,5.46213691896155
lowlevel.erbbands.mean[8].vocal,5.419706610849543
lowlevel.gfcc.var[8].vocal,5.358334377407956
lowlevel.erbbands_flatness_db.max.vocal,5.35646265068753
lowlevel.barkbands.dmean2[11].vocal,5.340010186002754
tonal.tuning_frequency.vocal,5.203941790618967
lowlevel.zerocrossingrate.median.vocal,5.111917072896849
lowlevel.erbbands.dmean[23].vocal,5.111564635364337
lowlevel.spectral_energy.dmean2.vocal,4.816136775550982
lowlevel.erbbands.median[32].vocal,4.709632480067287
lowlevel.mfcc.max[6].vocal,4.6501980371672165
lowlevel.erbbands.median[28].vocal,4.553207388166048
lowlevel.mfcc.var[10].vocal,4.520989286176765
lowlevel.dissonance.kurt.vocal,4.367052226920939
tonal.key_temperley.strength.vocal,4.328124047843364
lowlevel.melbands128.kurt[61].vocal,4.323319321079613
lowlevel.barkbands.dmean2[13].vocal,4.2591723755250985
lowlevel.erbbands.dvar2[32].vocal,4.240536928568714
